InventoryIndex,DemandIndex,ForecastIndex,ActionIndex,QValue
0,4,0,5,[ 0.          0.          0.          0.          0.         76.93613774]
0,4,1,0,[49.08288577  0.          0.          0.          0.          0.        ]
0,4,1,1,[ 0.         52.53574799  0.          0.          0.          0.        ]
0,4,1,2,[ 0.          0.         56.55567728  0.          0.          0.        ]
0,4,1,3,[ 0.          0.          0.         58.30134038  0.          0.        ]
0,4,1,4,[ 0.          0.          0.          0.         60.30898945  0.        ]
0,4,1,5,[ 0.         0.         0.         0.         0.        82.6312893]
0,4,2,0,[48.670932  0.        0.        0.        0.        0.      ]
0,4,2,1,[ 0.         53.16072041  0.          0.          0.          0.        ]
0,4,2,2,[ 0.          0.         56.81264401  0.          0.          0.        ]
0,4,2,3,[ 0.          0.          0.         58.33779213  0.          0.        ]
0,4,2,4,[ 0.          0.          0.          0.         62.83311301  0.        ]
0,4,2,5,[ 0.          0.          0.          0.          0.         82.81060361]
0,4,3,0,[50.02630087  0.          0.          0.          0.          0.        ]
0,4,3,1,[ 0.         52.74409263  0.          0.          0.          0.        ]
0,4,3,2,[ 0.          0.         56.51213196  0.          0.          0.        ]
0,4,3,3,[ 0.          0.          0.         60.28281848  0.          0.        ]
0,4,3,4,[ 0.          0.          0.          0.         61.49678024  0.        ]
0,4,3,5,[ 0.          0.          0.          0.          0.         78.18838569]
0,4,4,0,[49.00813567  0.          0.          0.          0.          0.        ]
0,4,4,1,[ 0.        52.7112837  0.         0.         0.         0.       ]
0,4,4,2,[ 0.          0.         56.69535617  0.          0.          0.        ]
0,4,4,3,[ 0.          0.          0.         58.96628193  0.          0.        ]
0,4,4,4,[ 0.          0.          0.          0.         61.50023454  0.        ]
0,4,4,5,[ 0.          0.          0.          0.          0.         86.20935242]
0,4,5,0,[48.67364018  0.          0.          0.          0.          0.        ]
0,4,5,1,[ 0.         52.45888802  0.          0.          0.          0.        ]
0,4,5,2,[ 0.          0.         56.24068026  0.          0.          0.        ]
0,4,5,3,[ 0.          0.          0.         60.73569712  0.          0.        ]
0,4,5,4,[ 0.          0.          0.          0.         63.36817083  0.        ]
0,4,5,5,[ 0.          0.          0.          0.          0.         72.88683172]
0,4,6,0,[48.81601424  0.          0.          0.          0.          0.        ]
0,4,6,1,[ 0.         52.75698282  0.          0.          0.          0.        ]
0,4,6,2,[ 0.         0.        56.2629489  0.         0.         0.       ]
0,4,6,3,[ 0.          0.          0.         59.53058002  0.          0.        ]
0,4,6,4,[ 0.          0.          0.          0.         61.94085184  0.        ]
0,4,6,5,[ 0.          0.          0.          0.          0.         81.35828534]
0,4,7,0,[48.77584818  0.          0.          0.          0.          0.        ]
0,4,7,1,[ 0.         52.80280892  0.          0.          0.          0.        ]
0,4,7,2,[ 0.          0.         56.53236059  0.          0.          0.        ]
0,4,7,3,[ 0.          0.          0.         60.22246708  0.          0.        ]
0,4,7,4,[ 0.          0.          0.          0.         59.86816799  0.        ]
