InventoryIndex,DemandIndex,ForecastIndex,ActionIndex,QValue
2,1,0,1,106.49999999999956
2,1,0,2,117.99999999999956
2,1,0,3,129.4999999999995
2,1,0,4,140.9999999999995
2,1,0,5,147.4999999999995
2,1,1,0,94.99999999999956
2,1,1,1,106.49999999999956
2,1,1,2,117.99999999999956
2,1,1,3,129.4999999999995
2,1,1,4,140.9999999999995
2,1,1,5,147.4999999999995
2,1,2,0,94.99999999999956
2,1,2,1,106.49999999999956
2,1,2,2,117.99999999999956
2,1,2,3,129.4999999999995
2,1,2,4,140.9999999999995
2,1,2,5,147.4999999999995
2,1,3,0,94.99999999999956
2,1,3,1,106.49999999999956
2,1,3,2,117.99999999999956
2,1,3,3,129.4999999999995
2,1,3,4,140.9999999999995
2,1,3,5,147.4999999999995
2,1,4,0,94.99999999999956
2,1,4,1,106.49999999999956
2,1,4,2,117.99999999999956
2,1,4,3,129.4999999999995
2,1,4,4,140.9999999999995
2,1,4,5,147.4999999999995
2,1,5,0,94.99999999999956
2,1,5,1,106.49999999999956
2,1,5,2,117.99999999999956
2,1,5,3,129.4999999999995
2,1,5,4,140.9999999999995
2,1,5,5,147.4999999999995
2,1,6,0,94.99999999999956
2,1,6,1,106.49999999999956
2,1,6,2,117.99999999999956
2,1,6,3,129.4999999999995
2,1,6,4,140.9999999999995
2,1,6,5,147.4999999999995
2,1,7,0,94.99999999999956
2,1,7,1,106.49999999999956
2,1,7,2,117.99999999999956
2,1,7,3,129.4999999999995
2,1,7,4,140.9999999999995
2,1,7,5,147.4999999999995
2,2,0,0,92.49999999999956
2,2,0,1,103.99999999999956
